nftype,speed,carga,heat,ch,wind,slope,fch,fp,fv,HROS,BROS,FROS
22,0.16272,3.249,4870,15,0,25,0.28950439437739456,1.66795625,1.0,0.1256824966998596,0.1256824966998596,0.1256824966998596
22,0.16272,3.249,4870,15,0,30,0.28950439437739456,1.821925,1.0,0.13293568044819,0.13293568044819,0.13293568044819
22,0.16272,3.249,4870,15,0,35,0.28950439437739456,1.9826862499999998,1.0,0.14050884633971847,0.14050884633971847,0.14050884633971847
22,0.16272,3.249,4870,15,0,40,0.28950439437739456,2.15024,1.0,0.14840199437444512,0.14840199437444512,0.14840199437444512
22,0.16272,3.249,4870,15,0,45,0.28950439437739456,2.32458625,1.0,0.15661512455236984,0.15661512455236984,0.15661512455236984
22,0.16272,3.249,4870,15,0,50,0.28950439437739456,2.505725,1.0,0.1651482368734927,0.1651482368734927,0.1651482368734927
22,0.16272,3.249,4870,15,0,55,0.28950439437739456,2.6936562499999996,1.0,0.17400133133781362,0.17400133133781362,0.17400133133781362
22,0.16272,3.249,4870,15,0,60,0.28950439437739456,2.8883799999999997,1.0,0.18317440794533268,0.18317440794533268,0.18317440794533268
22,0.16272,3.249,4870,15,5,0,0.28950439437739456,1.0,3.382125,0.20643382396202045,7.504563278097271e-08,0.00012446669011013502
22,0.16272,3.249,4870,15,5,5,0.28950439437739456,1.12000625,3.382125,0.21208709699436026,7.710078752186248e-08,0.00012787526031980028
22,0.16272,3.249,4870,15,5,10,0.28950439437739456,1.246805,3.382125,0.21806035216989822,7.927226652567601e-08,0.00013147675975731118
22,0.16272,3.249,4870,15,5,15,0.28950439437739456,1.3803962499999998,3.382125,0.2243535894886343,8.15600697924133e-08,0.00013527118842266773
22,0.16272,3.249,4870,15,5,20,0.28950439437739456,1.52078,3.382125,0.23096680895056845,8.396419732207434e-08,0.00013925854631586992
22,0.16272,3.249,4870,15,5,25,0.28950439437739456,1.66795625,3.382125,0.23790001055570076,8.648464911465914e-08,0.00014343883343691778
22,0.16272,3.249,4870,15,5,30,0.28950439437739456,1.821925,3.382125,0.24515319430403112,8.912142517016768e-08,0.00014781204978581123
22,0.16272,3.249,4870,15,5,35,0.28950439437739456,1.9826862499999998,3.382125,0.25272636019555966,9.187452548859999e-08,0.00015237819536255038
22,0.16272,3.249,4870,15,5,40,0.28950439437739456,2.15024,3.382125,0.2606195082302863,9.474395006995605e-08,0.00015713727016713517
22,0.16272,3.249,4870,15,5,45,0.28950439437739456,2.32458625,3.382125,0.268832638408211,9.772969891423583e-08,0.00016208927419956553
22,0.16272,3.249,4870,15,5,50,0.28950439437739456,2.505725,3.382125,0.27736575072933384,1.0083177202143942e-07,0.00016723420745984164
22,0.16272,3.249,4870,15,5,55,0.28950439437739456,2.6936562499999996,3.382125,0.28621884519365476,1.0405016939156672e-07,0.0001725720699479633
22,0.16272,3.249,4870,15,5,60,0.28950439437739456,2.8883799999999997,3.382125,0.29539192180117385,1.073848910246178e-07,0.0001781028616639307
22,0.16272,3.249,4870,15,10,0,0.28950439437739456,1.0,5.406699999999999,0.30180781697862935,6.62468896735177e-13,4.47142929492757e-07
22,0.16272,3.249,4870,15,10,5,0.28950439437739456,1.12000625,5.406699999999999,0.3074610900109692,6.748778448736611e-13,4.555185278792026e-07
22,0.16272,3.249,4870,15,10,10,0.28950439437739456,1.246805,5.406699999999999,0.31343434518650715,6.879891545994012e-13,4.643681953415497e-07
22,0.16272,3.249,4870,15,10,15,0.28950439437739456,1.3803962499999998,5.406699999999999,0.3197275825052432,7.018028259123974e-13,4.7369193187979864e-07
22,0.16272,3.249,4870,15,10,20,0.28950439437739456,1.52078,5.406699999999999,0.3263408019671774,7.163188588126499e-13,4.834897374939493e-07
22,0.16272,3.249,4870,15,10,25,0.28950439437739456,1.66795625,5.406699999999999,0.33327400357230963,7.315372533001583e-13,4.937616121840015e-07
22,0.16272,3.249,4870,15,10,30,0.28950439437739456,1.821925,5.406699999999999,0.3405271873206401,7.474580093749229e-13,5.045075559499557e-07
22,0.16272,3.249,4870,15,10,35,0.28950439437739456,1.9826862499999998,5.406699999999999,0.34810035321216853,7.640811270369435e-13,5.157275687918114e-07
22,0.16272,3.249,4870,15,10,40,0.28950439437739456,2.15024,5.406699999999999,0.3559935012468952,7.814066062862205e-13,5.27421650709569e-07
22,0.16272,3.249,4870,15,10,45,0.28950439437739456,2.32458625,5.406699999999999,0.3642066314248199,7.994344471227533e-13,5.395898017032282e-07
22,0.16272,3.249,4870,15,10,50,0.28950439437739456,2.505725,5.406699999999999,0.37273974374594276,8.181646495465423e-13,5.522320217727892e-07
22,0.16272,3.249,4870,15,10,55,0.28950439437739456,2.6936562499999996,5.406699999999999,0.38159283821026374,8.375972135575875e-13,5.653483109182519e-07
22,0.16272,3.249,4870,15,10,60,0.28950439437739456,2.8883799999999997,5.406699999999999,0.3907659148177828,8.577321391558887e-13,5.789386691396163e-07
22,0.16272,3.249,4870,15,15,0,0.28950439437739456,1.0,7.0737250000000005,0.38033828915600615,0.0,1.5230040382405825e-09
22,0.16272,3.249,4870,15,15,5,0.28950439437739456,1.12000625,7.0737250000000005,0.38599156218834607,0.0,1.5456416687474565e-09
22,0.16272,3.249,4870,15,15,10,0.28950439437739456,1.246805,7.0737250000000005,0.39196481736388394,0.0,1.5695606167291942e-09
22,0.16272,3.249,4870,15,15,15,0.28950439437739456,1.3803962499999998,7.0737250000000005,0.39825805468262004,0.0,1.5947608821857968e-09
22,0.16272,3.249,4870,15,15,20,0.28950439437739456,1.52078,7.0737250000000005,0.4048712741445542,0.0,1.6212424651172634e-09
22,0.16272,3.249,4870,15,15,25,0.28950439437739456,1.66795625,7.0737250000000005,0.41180447574968654,0.0,1.6490053655235948e-09
22,0.16272,3.249,4870,15,15,30,0.28950439437739456,1.821925,7.0737250000000005,0.4190576594980169,0.0,1.67804958340479e-09
22,0.16272,3.249,4870,15,15,35,0.28950439437739456,1.9826862499999998,7.0737250000000005,0.4266308253895454,0.0,1.7083751187608498e-09
22,0.16272,3.249,4870,15,15,40,0.28950439437739456,2.15024,7.0737250000000005,0.434523973424272,0.0,1.739981971591774e-09
22,0.16272,3.249,4870,15,15,45,0.28950439437739456,2.32458625,7.0737250000000005,0.44273710360219676,0.0,1.7728701418975626e-09
22,0.16272,3.249,4870,15,15,50,0.28950439437739456,2.505725,7.0737250000000005,0.4512702159233196,0.0,1.8070396296782154e-09
22,0.16272,3.249,4870,15,15,55,0.28950439437739456,2.6936562499999996,7.0737250000000005,0.46012331038764054,0.0,1.8424904349337324e-09
22,0.16272,3.249,4870,15,15,60,0.28950439437739456,2.8883799999999997,7.0737250000000005,0.46929638699515963,0.0,1.879222557664114e-09
22,0.16272,3.249,4870,15,20,0,0.28950439437739456,1.0,8.383199999999999,0.44202524049415065,0.0,4.8074556894463375e-12
22,0.16272,3.249,4870,15,20,5,0.28950439437739456,1.12000625,8.383199999999999,0.44767851352649046,0.0,4.868940548485004e-12
22,0.16272,3.249,4870,15,20,10,0.28950439437739456,1.246805,8.383199999999999,0.45365176870202845,0.0,4.93390552547603e-12
22,0.16272,3.249,4870,15,20,15,0.28950439437739456,1.3803962499999998,8.383199999999999,0.45994500602076455,0.0,5.0023506204194126e-12
22,0.16272,3.249,4870,15,20,20,0.28950439437739456,1.52078,8.383199999999999,0.4665582254826987,0.0,5.074275833315153e-12
22,0.16272,3.249,4870,15,20,25,0.28950439437739456,1.66795625,8.383199999999999,0.473491427087831,0.0,5.149681164163251e-12
22,0.16272,3.249,4870,15,20,30,0.28950439437739456,1.821925,8.383199999999999,0.4807446108361614,0.0,5.228566612963708e-12
22,0.16272,3.249,4870,15,20,35,0.28950439437739456,1.9826862499999998,8.383199999999999,0.4883177767276899,0.0,5.3109321797165216e-12
22,0.16272,3.249,4870,15,20,40,0.28950439437739456,2.15024,8.383199999999999,0.4962109247624165,0.0,5.3967778644216936e-12
22,0.16272,3.249,4870,15,20,45,0.28950439437739456,2.32458625,8.383199999999999,0.5044240549403411,0.0,5.486103667079222e-12
22,0.16272,3.249,4870,15,20,50,0.28950439437739456,2.505725,8.383199999999999,0.5129571672614641,0.0,5.578909587689111e-12
22,0.16272,3.249,4870,15,20,55,0.28950439437739456,2.6936562499999996,8.383199999999999,0.521810261725785,0.0,5.675195626251357e-12
22,0.16272,3.249,4870,15,20,60,0.28950439437739456,2.8883799999999997,8.383199999999999,0.530983338333304,0.0,5.774961782765959e-12
22,0.16272,3.249,4870,15,25,0,0.28950439437739456,1.0,9.335124999999998,0.48686867099306297,0.0,1.4385593352804232e-14
22,0.16272,3.249,4870,15,25,5,0.28950439437739456,1.12000625,9.335124999999998,0.4925219440254028,0.0,1.4552631594944018e-14
22,0.16272,3.249,4870,15,25,10,0.28950439437739456,1.246805,9.335124999999998,0.49849519920094076,0.0,1.4729124405156172e-14
22,0.16272,3.249,4870,15,25,15,0.28950439437739456,1.3803962499999998,9.335124999999998,0.5047884365196769,0.0,1.4915071783440694e-14
22,0.16272,3.249,4870,15,25,20,0.28950439437739456,1.52078,9.335124999999998,0.511401655981611,0.0,1.511047372979758e-14
22,0.16272,3.249,4870,15,25,25,0.28950439437739456,1.66795625,9.335124999999998,0.5183348575867432,0.0,1.5315330244226833e-14
22,0.16272,3.249,4870,15,25,30,0.28950439437739456,1.821925,9.335124999999998,0.5255880413350738,0.0,1.552964132672846e-14
22,0.16272,3.249,4870,15,25,35,0.28950439437739456,1.9826862499999998,9.335124999999998,0.5331612072266022,0.0,1.5753406977302447e-14
22,0.16272,3.249,4870,15,25,40,0.28950439437739456,2.15024,9.335124999999998,0.5410543552613288,0.0,1.5986627195948803e-14
22,0.16272,3.249,4870,15,25,45,0.28950439437739456,2.32458625,9.335124999999998,0.5492674854392535,0.0,1.6229301982667527e-14
22,0.16272,3.249,4870,15,25,50,0.28950439437739456,2.505725,9.335124999999998,0.5578005977603764,0.0,1.6481431337458616e-14
22,0.16272,3.249,4870,15,25,55,0.28950439437739456,2.6936562499999996,9.335124999999998,0.5666536922246973,0.0,1.6743015260322073e-14
22,0.16272,3.249,4870,15,25,60,0.28950439437739456,2.8883799999999997,9.335124999999998,0.5758267688322164,0.0,1.7014053751257898e-14
22,0.16272,3.249,4870,15,30,0,0.28950439437739456,1.0,9.9295,0.5148685806527433,0.0,4.1330040393184604e-17
22,0.16272,3.249,4870,15,30,5,0.28950439437739456,1.12000625,9.9295,0.5205218536850831,0.0,4.1783845522416e-17
22,0.16272,3.249,4870,15,30,10,0.28950439437739456,1.246805,9.9295,0.5264951088606211,0.0,4.2263336575008103e-17
22,0.16272,3.249,4870,15,30,15,0.28950439437739456,1.3803962499999998,9.9295,0.5327883461793571,0.0,4.2768513550960883e-17
22,0.16272,3.249,4870,15,30,20,0.28950439437739456,1.52078,9.9295,0.5394015656412914,0.0,4.329937645027438e-17
22,0.16272,3.249,4870,15,30,25,0.28950439437739456,1.66795625,9.9295,0.5463347672464236,0.0,4.3855925272948554e-17
22,0.16272,3.249,4870,15,30,30,0.28950439437739456,1.821925,9.9295,0.553587950994754,0.0,4.4438160018983425e-17
22,0.16272,3.249,4870,15,30,35,0.28950439437739456,1.9826862499999998,9.9295,0.5611611168862826,0.0,4.504608068837899e-17
22,0.16272,3.249,4870,15,30,40,0.28950439437739456,2.15024,9.9295,0.5690542649210091,0.0,4.567968728113525e-17
22,0.16272,3.249,4870,15,30,45,0.28950439437739456,2.32458625,9.9295,0.5772673950989339,0.0,4.6338979797252206e-17
22,0.16272,3.249,4870,15,30,50,0.28950439437739456,2.505725,9.9295,0.5858005074200567,0.0,4.702395823672986e-17
22,0.16272,3.249,4870,15,30,55,0.28950439437739456,2.6936562499999996,9.9295,0.5946536018843777,0.0,4.77346225995682e-17
22,0.16272,3.249,4870,15,30,60,0.28950439437739456,2.8883799999999997,9.9295,0.6038266784918968,0.0,4.8470972885767237e-17
22,0.16272,3.249,4870,15,35,0,0.28950439437739456,1.0,10.166324999999997,0.5260249694731911,0.0,1.1471747751594383e-19
22,0.16272,3.249,4870,15,35,5,0.28950439437739456,1.12000625,10.166324999999997,0.5316782425055309,0.0,1.1595036427914905e-19
22,0.16272,3.249,4870,15,35,10,0.28950439437739456,1.246805,10.166324999999997,0.5376514976810689,0.0,1.1725303393565423e-19
22,0.16272,3.249,4870,15,35,15,0.28950439437739456,1.3803962499999998,10.166324999999997,0.5439447349998049,0.0,1.1862548648545926e-19
22,0.16272,3.249,4870,15,35,20,0.28950439437739456,1.52078,10.166324999999997,0.550557954461739,0.0,1.200677219285642e-19
22,0.16272,3.249,4870,15,35,25,0.28950439437739456,1.66795625,10.166324999999997,0.5574911560668714,0.0,1.2157974026496906e-19
22,0.16272,3.249,4870,15,35,30,0.28950439437739456,1.821925,10.166324999999997,0.5647443398152018,0.0,1.2316154149467383e-19
22,0.16272,3.249,4870,15,35,35,0.28950439437739456,1.9826862499999998,10.166324999999997,0.5723175057067303,0.0,1.248131256176785e-19
22,0.16272,3.249,4870,15,35,40,0.28950439437739456,2.15024,10.166324999999997,0.5802106537414569,0.0,1.2653449263398303e-19
22,0.16272,3.249,4870,15,35,45,0.28950439437739456,2.32458625,10.166324999999997,0.5884237839193815,0.0,1.283256425435875e-19
22,0.16272,3.249,4870,15,35,50,0.28950439437739456,2.505725,10.166324999999997,0.5969568962405044,0.0,1.3018657534649187e-19
22,0.16272,3.249,4870,15,35,55,0.28950439437739456,2.6936562499999996,10.166324999999997,0.6058099907048254,0.0,1.3211729104269618e-19
22,0.16272,3.249,4870,15,35,60,0.28950439437739456,2.8883799999999997,10.166324999999997,0.6149830673123444,0.0,1.3411778963220033e-19
22,0.16272,3.249,4870,15,40,0,0.28950439437739456,1.0,10.045599999999997,0.5203378374544068,0.0,3.0829213255887305e-22
22,0.16272,3.249,4870,15,40,5,0.28950439437739456,1.12000625,10.045599999999997,0.5259911104867466,0.0,3.1164160952100216e-22
22,0.16272,3.249,4870,15,40,10,0.28950439437739456,1.246805,10.045599999999997,0.5319643656622846,0.0,3.1518067096115023e-22
22,0.16272,3.249,4870,15,40,15,0.28950439437739456,1.3803962499999998,10.045599999999997,0.5382576029810207,0.0,3.1890931687931724e-22
22,0.16272,3.249,4870,15,40,20,0.28950439437739456,1.52078,10.045599999999997,0.5448708224429548,0.0,3.228275472755032e-22
22,0.16272,3.249,4870,15,40,25,0.28950439437739456,1.66795625,10.045599999999997,0.551804024048087,0.0,3.269353621497081e-22
22,0.16272,3.249,4870,15,40,30,0.28950439437739456,1.821925,10.045599999999997,0.5590572077964175,0.0,3.3123276150193206e-22
22,0.16272,3.249,4870,15,40,35,0.28950439437739456,1.9826862499999998,10.045599999999997,0.566630373687946,0.0,3.3571974533217484e-22
22,0.16272,3.249,4870,15,40,40,0.28950439437739456,2.15024,10.045599999999997,0.5745235217226726,0.0,3.403963136404366e-22
22,0.16272,3.249,4870,15,40,45,0.28950439437739456,2.32458625,10.045599999999997,0.5827366519005973,0.0,3.452624664267173e-22
22,0.16272,3.249,4870,15,40,50,0.28950439437739456,2.505725,10.045599999999997,0.5912697642217202,0.0,3.5031820369101704e-22
22,0.16272,3.249,4870,15,40,55,0.28950439437739456,2.6936562499999996,10.045599999999997,0.6001228586860412,0.0,3.555635254333357e-22
22,0.16272,3.249,4870,15,40,60,0.28950439437739456,2.8883799999999997,10.045599999999997,0.6092959352935602,0.0,3.6099843165367323e-22
22,0.16272,3.249,4870,15,45,0,0.28950439437739456,1.0,9.567324999999997,0.49780718459639034,0.0,8.012942024420475e-25
22,0.16272,3.249,4870,15,45,5,0.28950439437739456,1.12000625,9.567324999999997,0.5034604576287302,0.0,8.103939805203985e-25
22,0.16272,3.249,4870,15,45,10,0.28950439437739456,1.246805,9.567324999999997,0.5094337128042682,0.0,8.200088171277613e-25
22,0.16272,3.249,4870,15,45,15,0.28950439437739456,1.3803962499999998,9.567324999999997,0.5157269501230042,0.0,8.301387122641354e-25
22,0.16272,3.249,4870,15,45,20,0.28950439437739456,1.52078,9.567324999999997,0.5223401695849383,0.0,8.407836659295213e-25
22,0.16272,3.249,4870,15,45,25,0.28950439437739456,1.66795625,9.567324999999997,0.5292733711900707,0.0,8.519436781239189e-25
22,0.16272,3.249,4870,15,45,30,0.28950439437739456,1.821925,9.567324999999997,0.5365265549384011,0.0,8.63618748847328e-25
22,0.16272,3.249,4870,15,45,35,0.28950439437739456,1.9826862499999998,9.567324999999997,0.5440997208299296,0.0,8.758088780997488e-25
22,0.16272,3.249,4870,15,45,40,0.28950439437739456,2.15024,9.567324999999997,0.5519928688646561,0.0,8.885140658811809e-25
22,0.16272,3.249,4870,15,45,45,0.28950439437739456,2.32458625,9.567324999999997,0.5602059990425808,0.0,9.017343121916249e-25
22,0.16272,3.249,4870,15,45,50,0.28950439437739456,2.505725,9.567324999999997,0.5687391113637038,0.0,9.154696170310806e-25
22,0.16272,3.249,4870,15,45,55,0.28950439437739456,2.6936562499999996,9.567324999999997,0.5775922058280247,0.0,9.297199803995476e-25
22,0.16272,3.249,4870,15,45,60,0.28950439437739456,2.8883799999999997,9.567324999999997,0.5867652824355437,0.0,9.444854022970263e-25
22,0.16272,3.249,4870,15,50,0,0.28950439437739456,1.0,8.731499999999997,0.45843301089914174,0.0,2.004751417071691e-27
22,0.16272,3.249,4870,15,50,5,0.28950439437739456,1.12000625,8.731499999999997,0.46408628393148155,0.0,2.0294734742822914e-27
22,0.16272,3.249,4870,15,50,10,0.28950439437739456,1.246805,8.731499999999997,0.47005953910701953,0.0,2.0555948300594502e-27
22,0.16272,3.249,4870,15,50,15,0.28950439437739456,1.3803962499999998,8.731499999999997,0.4763527764257556,0.0,2.0831154844031667e-27
22,0.16272,3.249,4870,15,50,20,0.28950439437739456,1.52078,8.731499999999997,0.48296599588768974,0.0,2.1120354373134415e-27
