,Instance,HFactor,BFactor,FFactor,EFactor,fperiod,ADI,ADI_ue,ADIoe,F1,norm,MSE,area_c2f,SSIM,area_ref,time
811,811,0.8999999999999999,2.0,2.5,2.7,0.4,9.229588276343335,6.124912770411724,3.104675505931612,0.5428477071135667,115.00434774390054,0.166132820841341,5882,0.7939949715705308,10210,2.4686191082000732
812,812,0.8999999999999999,2.0,2.5,2.8000000000000003,0.1,15.29940119760479,14.284431137724551,1.0149700598802396,0.5232003466496666,101.09401564880089,0.12837421964301415,1346,0.8441500114430935,10210,0.8244421482086182
813,813,0.8999999999999999,2.0,2.5,2.8000000000000003,0.2,11.817540322580646,9.29233870967742,2.525201612903226,0.532090710161907,108.27280360275151,0.14725352024217758,3497,0.8185554549712646,10210,1.4804558753967285
814,814,0.8999999999999999,2.0,2.5,2.8000000000000003,0.30000000000000004,9.989731437598737,7.064770932069511,2.924960505529226,0.539504618476017,112.45888137448283,0.15885995653866927,4969,0.8040449377197477,10210,1.947239875793457
815,815,0.8999999999999999,2.0,2.5,2.8000000000000003,0.4,9.203870076019351,6.05597788527989,3.147892190739461,0.5426916955334476,115.4036394573412,0.167288440039693,6002,0.7924789395953742,10210,2.6727828979492188
816,816,0.8999999999999999,2.0,2.5,2.9000000000000004,0.1,14.795947901591896,13.775687409551375,1.020260492040521,0.5249077775427236,101.11379727811631,0.12842446395598597,1396,0.843955830041165,10210,1.0020678043365479
817,817,0.8999999999999999,2.0,2.5,2.9000000000000004,0.2,11.737835153922543,9.139026812313803,2.5988083416087386,0.5321418253853306,108.71982339941506,0.14847194483174436,3624,0.8171407058320449,10210,1.5736908912658691
818,818,0.8999999999999999,2.0,2.5,2.9000000000000004,0.30000000000000004,9.906614785992218,6.945525291828794,2.9610894941634243,0.5397615838208659,112.82730166054668,0.15990252603283467,5090,0.8027221600556009,10210,2.0268123149871826
819,819,0.8999999999999999,2.0,2.5,2.9000000000000004,0.4,9.183060109289617,5.974043715846994,3.209016393442623,0.542364609801465,115.94826432508596,0.16887113589830552,6162,0.7900243528044262,10210,2.709912061691284
820,820,0.8999999999999999,2.0,2.6,2.5,0.1,15.652307692307692,14.707692307692307,0.9446153846153846,0.5222195708828126,100.86624807139403,0.12779641004383815,1264,0.8450402288035184,10210,0.8069219589233398
821,821,0.8999999999999999,2.0,2.6,2.5,0.2,11.850562947799386,9.4503582395087,2.4002047082906857,0.5324641775698453,107.60111523585617,0.1454321638969489,3322,0.8207729931828457,10210,1.5820989608764648
