num,nftype,ws,wd,slope,mc1,mc10,mc100,mcHerb,mcWoody,Load_1h,Load_10h,Load_100h,Load_Live_Herb,Load_Live_Woody,SA/V_1h,SA/V_Live_Herb,SA/V_Live_Woody,Fuel_Bed_Depth,Mx_dead,HROS,FROS,BROS
896,101,15,0,40,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,36.95,3.839826244,0.399032898
900,101,15,0,45,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,37.38,3.860572423,0.398716411
904,101,15,0,50,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,37.87,3.884722308,0.398496631
908,101,15,0,55,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,38.4,3.910125555,0.398153173
912,101,15,0,60,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,38.99,3.938727911,0.397886062
916,101,15,0,65,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,39.63,3.969399574,0.397580948
920,101,15,0,70,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,40.32,4.00078625,0.396981414
924,101,15,0,75,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,41.06,4.035269779,0.396575796
928,101,15,0,80,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,41.85,4.071488524,0.396105587
932,101,15,0,85,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,42.69,4.109326397,0.395562507
1152,101,20,0,0,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,55.05,4.618216962,0.3874283
1156,101,20,0,5,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,55.08,4.619521147,0.387436014
1160,101,20,0,10,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,55.16,4.622591589,0.387388561
1164,101,20,0,15,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,55.28,4.626582449,0.387215361
1168,101,20,0,20,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,55.46,4.634366098,0.387258369
1172,101,20,0,25,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,55.69,4.642661545,0.387040873
1176,101,20,0,30,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,55.97,4.65265581,0.386764447
1180,101,20,0,35,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,56.3,4.665528293,0.386627962
1184,101,20,0,40,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,56.69,4.680858964,0.38649569
1188,101,20,0,45,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,57.12,4.695745559,0.386029873
1192,101,20,0,50,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,57.6,4.713389625,0.385695169
1196,101,20,0,55,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,58.14,4.733348768,0.385355875
