,Instance,HFactor,BFactor,FFactor,EFactor,fperiod,ADI,ADI_ue,ADIoe,F1,norm,MSE,area_c2f,SSIM,area_ref,time
1165,1165,0.5,1.0,0.0,1.5,0.5,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,1.21903395652771
1166,1166,0.5,1.0,0.0,1.5,1.0,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,1.1526720523834229
1167,1167,0.5,1.0,0.0,1.5,1.5,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,1.1721889972686768
1168,1168,0.5,1.0,0.0,2.0,0.0,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,1.1647958755493164
1169,1169,0.5,1.0,0.0,2.0,0.5,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,1.110701084136963
1170,1170,0.5,1.0,0.0,2.0,1.0,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,1.2081298828125
1171,1171,0.5,1.0,0.0,2.0,1.5,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,1.7198810577392578
1172,1172,0.5,1.0,0.0,2.5,0.0,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,1.566058874130249
1173,1173,0.5,1.0,0.0,2.5,0.5,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,1.324671983718872
1174,1174,0.5,1.0,0.0,2.5,1.0,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,1.1754810810089111
1175,1175,0.5,1.0,0.0,2.5,1.5,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,1.1166319847106934
1176,1176,0.5,1.0,0.5,0.0,0.0,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,1.2055528163909912
1177,1177,0.5,1.0,0.5,0.0,0.5,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,1.186702013015747
1178,1178,0.5,1.0,0.5,0.0,1.0,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,1.1316688060760498
1179,1179,0.5,1.0,0.5,0.0,1.5,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,1.4750158786773682
1180,1180,0.5,1.0,0.5,0.5,0.0,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,0.9943380355834961
1181,1181,0.5,1.0,0.5,0.5,0.5,52.427083333333336,52.177083333333336,0.25,0.4845429150955375,100.32945728947207,0.12643981359359888,240,0.849945365091045,10210,1.4312589168548584
1182,1182,0.5,1.0,0.5,0.5,1.0,52.427083333333336,52.177083333333336,0.25,0.4845429150955375,100.32945728947207,0.12643981359359888,240,0.849945365091045,10210,1.208601951599121
1183,1183,0.5,1.0,0.5,0.5,1.5,53.26984126984127,53.02116402116402,0.24867724867724866,0.48425694737408775,100.33942395688746,0.1264649357500848,236,0.8499348839340055,10210,1.5621850490570068
1184,1184,0.5,1.0,0.5,1.0,0.0,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,2.003704071044922
1185,1185,0.5,1.0,0.5,1.0,0.5,39.7265625,38.8828125,0.84375,0.48973234634496604,100.84641788382967,0.12774616573086633,472,0.8473673661426939,10210,1.3111670017242432
1186,1186,0.5,1.0,0.5,1.0,1.0,39.7265625,38.8828125,0.84375,0.48973234634496604,100.84641788382967,0.12774616573086633,472,0.8473673661426939,10210,1.2306780815124512
1187,1187,0.5,1.0,0.5,1.0,1.5,40.02755905511811,39.196850393700785,0.8307086614173228,0.48957241881936797,100.83154268382489,0.12770848249613748,465,0.8474610192346637,10210,1.4483332633972168
1188,1188,0.5,1.0,0.5,1.5,0.0,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,2.046027898788452
1189,1189,0.5,1.0,0.5,1.5,0.5,34.281879194630875,33.261744966442954,1.0201342281879195,0.49314380229171356,101.07423014794622,0.12832397533004233,602,0.8459283178108773,10210,2.052507162094116
1190,1190,0.5,1.0,0.5,1.5,1.0,34.35690235690236,33.377104377104374,0.9797979797979798,0.4931305988449544,101.01485039339512,0.12817324239112685,588,0.8460999442871862,10210,2.211416006088257
1191,1191,0.5,1.0,0.5,1.5,1.5,34.35353535353536,33.377104377104374,0.9764309764309764,0.4931367466202854,101.0099005048515,0.1281606813128839,587,0.8461053464913565,10210,2.7804291248321533
1192,1192,0.5,1.0,0.5,2.0,0.0,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,1.4717531204223633
1193,1193,0.5,1.0,0.5,2.0,0.5,30.540298507462687,29.47761194029851,1.0626865671641792,0.4962417410741865,101.14840582035883,0.12851239150368668,691,0.8454338436777951,10210,1.3235321044921875
1194,1194,0.5,1.0,0.5,2.0,1.0,30.53134328358209,29.47761194029851,1.0537313432835822,0.49626101131225725,101.13357503816425,0.1284747082689578,688,0.8455525765095268,10210,1.320807933807373
1195,1195,0.5,1.0,0.5,2.0,1.5,30.51044776119403,29.47761194029851,1.0328358208955224,0.49630599162485123,101.09896141899777,0.12838678072125712,681,0.8457207811902735,10210,1.3914670944213867
1196,1196,0.5,1.0,0.5,2.5,0.0,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,1.3602371215820312
1197,1197,0.5,1.0,0.5,2.5,0.5,27.19628647214854,26.082228116710876,1.1140583554376657,0.4996626641810875,101.25709851659784,0.1287887352250317,797,0.845268274161142,10210,1.4562280178070068
1198,1198,0.5,1.0,0.5,2.5,1.0,27.341333333333335,26.226666666666667,1.1146666666666667,0.4994942804975419,101.25709851659784,0.1287887352250317,793,0.845200529379266,10210,1.2011609077453613
1199,1199,0.5,1.0,0.5,2.5,1.5,27.493297587131366,26.37265415549598,1.1206434316353888,0.49931239495416085,101.26697388586271,0.12881385738151763,791,0.8451641880951618,10210,1.1018190383911133
1200,1200,0.5,1.0,1.0,0.0,0.0,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,1.110191822052002
1201,1201,0.5,1.0,1.0,0.0,0.5,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,1.0250067710876465
1202,1202,0.5,1.0,1.0,0.0,1.0,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,1.1505279541015625
1203,1203,0.5,1.0,1.0,0.0,1.5,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,1.1587700843811035
1204,1204,0.5,1.0,1.0,0.5,0.0,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,1.6095290184020996
1205,1205,0.5,1.0,1.0,0.5,0.5,32.359872611464965,31.515923566878982,0.8439490445859873,0.49487615279712777,100.80178569846865,0.12763311602667973,579,0.8469464667689786,10210,1.4913251399993896
1206,1206,0.5,1.0,1.0,0.5,1.0,32.43450479233227,31.619808306709267,0.8146964856230032,0.49484592517953,100.75713374248,0.12752006632249313,568,0.8472144777635606,10210,1.124614953994751
1207,1207,0.5,1.0,1.0,0.5,1.5,32.318471337579616,31.515923566878982,0.802547770700637,0.49495804748028477,100.73728207570423,0.1274698220095213,566,0.8472647222195152,10210,1.1829686164855957
1208,1208,0.5,1.0,1.0,1.0,0.0,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,1.3209669589996338
1209,1209,0.5,1.0,1.0,1.0,0.5,20.71747967479675,19.752032520325205,0.9654471544715447,0.5095936238770779,100.96038827183659,0.12803507053045435,967,0.8454686841290572,10210,1.413895845413208
1210,1210,0.5,1.0,1.0,1.0,1.0,20.791836734693877,19.836734693877553,0.9551020408163265,0.5094689929210758,100.93562304756433,0.12797226513923957,958,0.8455300680949632,10210,1.353827714920044
1211,1211,0.5,1.0,1.0,1.0,1.5,20.905544147843944,19.965092402464066,0.9404517453798767,0.5092778461827387,100.90094152187085,0.12788433759153886,945,0.8455887980556931,10210,1.20444917678833
1212,1212,0.5,1.0,1.0,1.5,0.0,10209.0,10209.0,0.0,0.4658420732954035,101.03959619871806,0.12823604778234163,1,0.8492667822668971,10210,1.093621015548706
