,Instance,HFactor,BFactor,FFactor,EFactor,fperiod,ADI,ADI_ue,ADIoe,F1,norm,MSE,area_c2f,SSIM,area_ref,time
2775,2775,2.0,1.5,2.8000000000000003,2.8000000000000003,0.4,11.336763330215154,8.550982226379794,2.78578110383536,0.5331809664635935,110.08632975987527,0.15222770722638831,4047,0.8125247179331563,10210,1.771353006362915
2776,2776,2.0,1.5,2.8000000000000003,2.9000000000000004,0.1,17.096828046744573,16.04507512520868,1.0517529215358932,0.5177159416259739,101.19782606360673,0.12863800228611624,1229,0.8445341430494794,10210,0.7905337810516357
2777,2777,2.0,1.5,2.8000000000000003,2.9000000000000004,0.2,13.563501849568434,11.589395807644882,1.9741060419235512,0.526735838570261,104.88088481701516,0.13817186067252013,2412,0.8303064783490817,10210,1.1446647644042969
2778,2778,2.0,1.5,2.8000000000000003,2.9000000000000004,0.30000000000000004,12.022610483042138,9.493319630010278,2.5292908530318603,0.5311356237163276,108.15729286552988,0.14693949328610367,3434,0.8193386601668509,10210,1.564276933670044
2779,2779,2.0,1.5,2.8000000000000003,2.9000000000000004,0.4,11.253222836095764,8.401473296500921,2.8517495395948433,0.533262209623026,110.54863183232979,0.15350893720716988,4183,0.8108941478982344,10210,1.803009033203125
2780,2780,2.0,1.5,2.9000000000000004,2.5,0.1,18.16370106761566,17.16725978647687,0.99644128113879,0.5150819324911569,101.03464752252071,0.1282234867040987,1122,0.8454055964591686,10210,0.7565920352935791
2781,2781,2.0,1.5,2.9000000000000004,2.5,0.2,13.751269035532994,11.956852791878173,1.7944162436548223,0.5265821051203813,104.09610943738484,0.1361118438406753,2202,0.8325760145618671,10210,1.0807790756225586
2782,2782,2.0,1.5,2.9000000000000004,2.5,0.30000000000000004,12.22823779193206,9.83864118895966,2.389596602972399,0.5307851761784337,107.32660434393702,0.1446910602806145,3193,0.8222629486339644,10210,1.4493169784545898
2783,2783,2.0,1.5,2.9000000000000004,2.5,0.4,11.487081339712919,8.770334928229666,2.716746411483254,0.5327884306952804,109.5627673984187,0.15078318322844833,3884,0.8144988660017425,10210,1.7158970832824707
2784,2784,2.0,1.5,2.9000000000000004,2.6,0.1,17.588640275387263,16.57314974182444,1.0154905335628228,0.5164892174734481,101.08906963663283,0.1283616585647712,1171,0.8450666606133217,10210,0.7619609832763672
