number,value,datetime_start,datetime_complete,duration,params_BFactor,params_EFactor,params_FFactor,params_HFactor,params_fperiod,state
63,0.9255052740499277,2025-04-10 12:58:13.768298,2025-04-10 12:58:16.023464,0 days 00:00:02.255166,1.3784211817766439,0.741507273307888,1.0526298762784068,1.0561695668445361,2,COMPLETE
64,0.9189580707123894,2025-04-10 12:58:16.026038,2025-04-10 12:58:17.958881,0 days 00:00:01.932843,1.4265283330493728,0.7199147862337335,1.0242084110399425,1.0411616634294414,2,COMPLETE
65,0.9251038270145759,2025-04-10 12:58:17.961193,2025-04-10 12:58:20.225567,0 days 00:00:02.264374,1.4415762016429714,0.7463022825004157,1.1601606203571022,1.0485009410134671,2,COMPLETE
66,0.9216762538845147,2025-04-10 12:58:20.227935,2025-04-10 12:58:22.075726,0 days 00:00:01.847791,1.3853441704186564,0.7359344312203104,1.0687940563391791,1.0320109937804884,2,COMPLETE
67,0.9256199402057568,2025-04-10 12:58:22.078359,2025-04-10 12:58:24.011732,0 days 00:00:01.933373,1.419724567564753,0.8465999017713212,1.1989048515326621,1.0597606568963966,2,COMPLETE
68,0.9248731546062097,2025-04-10 12:58:24.014441,2025-04-10 12:58:26.049089,0 days 00:00:02.034648,1.4199280294816443,0.8434645055259253,1.1994174924216094,1.0590691456177235,2,COMPLETE
69,0.9024829889813792,2025-04-10 12:58:26.051166,2025-04-10 12:58:27.988069,0 days 00:00:01.936903,1.4001281262381464,0.8617490796949814,1.026316375186573,1.077872254564703,2,COMPLETE
70,0.9257580568956258,2025-04-10 12:58:27.990482,2025-04-10 12:58:29.810230,0 days 00:00:01.819748,1.4755533695023564,0.8437230039383797,1.085682152492907,1.052402570339763,2,COMPLETE
71,0.9246021365534401,2025-04-10 12:58:29.812093,2025-04-10 12:58:31.756840,0 days 00:00:01.944747,1.475082496123576,0.8485119646968886,1.0882530735625395,1.054148941667231,2,COMPLETE
72,0.9255596527995751,2025-04-10 12:58:31.759480,2025-04-10 12:58:34.424397,0 days 00:00:02.664917,1.4849753150651168,0.8280993970057146,1.095233070456842,1.0685933016406044,2,COMPLETE
73,0.9091964139423001,2025-04-10 12:58:34.428524,2025-04-10 12:58:37.331203,0 days 00:00:02.902679,1.4087374780153201,0.8714233279003936,1.059071203217465,1.0496778973699228,2,COMPLETE
74,0.9147233733255886,2025-04-10 12:58:37.333979,2025-04-10 12:58:39.436409,0 days 00:00:02.102430,1.489651193596758,0.8385895208775628,1.0391211320504077,1.0879377761924314,2,COMPLETE
75,0.9173593304961931,2025-04-10 12:58:39.438743,2025-04-10 12:58:41.654789,0 days 00:00:02.216046,1.463591330328072,0.8062729745982811,1.1035895817957067,1.0167189882193928,2,COMPLETE
76,0.9173593304961931,2025-04-10 12:58:41.685524,2025-04-10 12:58:43.619773,0 days 00:00:01.934249,1.3359510143749969,0.8219916055867813,1.0844486601367835,1.0018590373980705,2,COMPLETE
77,0.91720701448446,2025-04-10 12:58:43.622255,2025-04-10 12:58:45.773260,0 days 00:00:02.151005,1.4707137755218584,0.8419203039421197,1.1161325888177214,1.0376826405454644,2,COMPLETE
