number,value,datetime_start,datetime_complete,duration,params_BFactor,params_EFactor,params_FFactor,params_HFactor,params_fperiod,state
12,0.9212118105926488,2025-03-31 19:55:16.522056,2025-03-31 19:55:21.015486,0 days 00:00:04.493430,1.1331728785604298,0.7424114717432224,1.9911696683750166,0.9425095498248585,1,COMPLETE
13,0.5851349693015999,2025-03-31 19:55:21.016868,2025-03-31 19:55:32.346922,0 days 00:00:11.330054,1.6836662535424578,0.9627131627719945,0.7035830676104948,1.986154512719199,1,COMPLETE
14,0.9278885322325201,2025-03-31 19:55:32.348333,2025-03-31 19:55:37.021704,0 days 00:00:04.673371,0.7618152258668136,0.684419846797804,0.6919118778985456,1.046365389484629,1,COMPLETE
15,0.7115449583460642,2025-03-31 19:55:37.023093,2025-03-31 19:55:39.972643,0 days 00:00:02.949550,1.2734942481020437,0.6280279816979689,0.25513649577590414,0.6233335029012124,1,COMPLETE
16,0.7651816502631485,2025-03-31 19:55:39.974300,2025-03-31 19:55:47.651015,0 days 00:00:07.676715,0.829155213007267,0.8545084746705285,1.0558017284481622,1.4197650922058842,1,COMPLETE
17,0.8926897431134391,2025-03-31 19:55:47.652449,2025-03-31 19:55:50.248177,0 days 00:00:02.595728,0.4785636336558047,0.42925421100595823,1.7331038505466674,1.493585062597211,2,COMPLETE
18,0.8904590033224973,2025-03-31 19:55:50.249682,2025-03-31 19:55:56.497228,0 days 00:00:06.247546,1.6991276196406817,0.8826300651843388,1.2606847972604518,1.0255001232252605,1,COMPLETE
19,0.7970112709238637,2025-03-31 19:55:56.500303,2025-03-31 19:56:00.089999,0 days 00:00:03.589696,1.2761235618137834,0.6318893685444084,0.4609970275918214,0.7775806945823925,1,COMPLETE
20,0.834527888065838,2025-03-31 19:56:00.091585,2025-03-31 19:56:02.491689,0 days 00:00:02.400104,0.49711762156909156,0.47061055772478605,0.8182807564321479,1.1873080284089998,2,COMPLETE
21,0.9248780911037184,2025-03-31 19:56:02.493125,2025-03-31 19:56:07.390904,0 days 00:00:04.897779,0.8126117034273336,0.6584089711055978,0.782356080786476,1.0679850217151625,1,COMPLETE
22,0.9140215067153669,2025-03-31 19:56:07.392790,2025-03-31 19:56:11.895654,0 days 00:00:04.502864,0.6772190785691592,0.7155642730422997,0.5099236678546275,0.9244463354470424,1,COMPLETE
23,0.8080806445748836,2025-03-31 19:56:11.897157,2025-03-31 19:56:18.941659,0 days 00:00:07.044502,0.942763781693488,0.852979498837816,1.3304461572560704,1.294809837404541,1,COMPLETE
24,0.9290272892650719,2025-03-31 19:56:18.943050,2025-03-31 19:56:23.731460,0 days 00:00:04.788410,0.23486360680270468,0.6988500519895919,0.9218034654014078,1.0373397746416015,1,COMPLETE
25,0.8597900983458144,2025-03-31 19:56:23.733008,2025-03-31 19:56:27.664475,0 days 00:00:03.931467,0.17025933820227374,0.6106578187272141,0.9321328579021881,0.9250498355535184,1,COMPLETE
26,0.8017057329203616,2025-03-31 19:56:27.665881,2025-03-31 19:56:31.224363,0 days 00:00:03.558482,0.3019253713602795,0.7827040000413538,1.1021516555464959,0.639822505514873,1,COMPLETE
27,0.9105647668227046,2025-03-31 19:56:31.225785,2025-03-31 19:56:35.886271,0 days 00:00:04.660486,1.795082404710782,0.5061246307620338,1.8067556304782446,1.2771612836093351,1,COMPLETE
28,0.8760755501469538,2025-03-31 19:56:35.887734,2025-03-31 19:56:41.828597,0 days 00:00:05.940863,1.4138250183678023,0.8994766678255806,1.3644886782805967,1.0818199685677026,1,COMPLETE
29,0.7383805356069044,2025-03-31 19:56:41.830009,2025-03-31 19:56:43.801274,0 days 00:00:01.971265,0.3265032775918118,0.29311076029239247,0.3421669452475571,1.5082317374032435,2,COMPLETE
30,0.8048300701148436,2025-03-31 19:56:43.802763,2025-03-31 19:56:47.382920,0 days 00:00:03.580157,1.8078446541242592,0.6004438946860524,1.190356075763615,0.8418974327467088,1,COMPLETE
