,Instance,HFactor,BFactor,FFactor,EFactor,fperiod,ADI,ADI_ue,ADIoe,F1,norm,MSE,area_c2f,SSIM,area_farsite,time
125,125,0.9,0.6,0.7,0.7,2,0.45515846257585973,0.41537424140256235,0.03978422117329737,0.9057531545111959,25.98076211353316,0.006107823443183669,1542,0.9877990704542527,2099,1.1061649322509766
126,126,0.9,0.6,0.7,0.7999999999999999,1,0.3394181403308614,0.19737592698231604,0.14204221334854536,0.9260852887754212,24.392621835300936,0.005383933257324864,2002,0.9883331545564733,2099,1.6437621116638184
127,127,0.9,0.6,0.7,0.7999999999999999,2,0.35376532399299476,0.22533566841798014,0.1284296555750146,0.9234548513731655,24.61706725018234,0.005483468157880449,1933,0.9883426454836455,2099,1.1736130714416504
128,128,0.9,0.6,0.7,0.8999999999999999,1,0.3748064016520392,0.08363448631905007,0.29117191533298914,0.9194097243706312,26.94438717061496,0.006569303436668657,2501,0.9868808530458654,2099,1.7775530815124512
129,129,0.9,0.6,0.7,0.8999999999999999,2,0.338682899833979,0.16159380188157166,0.1770890979524073,0.9261796766037311,24.73863375370596,0.00553775992181986,2127,0.9880944719528694,2099,1.2105212211608887
130,130,0.9,0.6,0.7999999999999999,0.5,1,1.62266500622665,1.613947696139477,0.008717310087173101,0.7730529746007007,36.09709129556009,0.01179036140217529,810,0.9818287568293039,2099,1.2447559833526611
131,131,0.9,0.6,0.7999999999999999,0.5,2,1.8141711229946524,1.8061497326203209,0.008021390374331552,0.7590702723830958,36.837480912787726,0.012278987277629983,754,0.9814766616198443,2099,0.9462480545043945
132,132,0.9,0.6,0.7999999999999999,0.6,1,0.7776845637583892,0.7609060402684564,0.016778523489932886,0.8578831704759742,30.44667469527666,0.008388077528638906,1212,0.9852041672789255,2099,1.3885571956634521
133,133,0.9,0.6,0.7999999999999999,0.6,2,0.974766355140187,0.9616822429906542,0.013084112149532711,0.8337669506172287,32.29551052391029,0.009437718298134173,1084,0.9839425102692464,2099,1.0136749744415283
134,134,0.9,0.6,0.7999999999999999,0.7,1,0.41736876215165264,0.36033700583279327,0.057031756318859365,0.9121910862479978,25.37715508089904,0.005827315996163382,1631,0.9882996967124231,2099,1.5258808135986328
135,135,0.9,0.6,0.7999999999999999,0.7,2,0.45515846257585973,0.41537424140256235,0.03978422117329737,0.9057531545111959,25.98076211353316,0.006107823443183669,1542,0.9877990704542527,2099,1.1158709526062012
136,136,0.9,0.6,0.7999999999999999,0.7999999999999999,1,0.3394181403308614,0.19737592698231604,0.14204221334854536,0.9260852887754212,24.392621835300936,0.005383933257324864,2002,0.9883331545564733,2099,1.6388280391693115
137,137,0.9,0.6,0.7999999999999999,0.7999999999999999,2,0.35376532399299476,0.22533566841798014,0.1284296555750146,0.9234548513731655,24.61706725018234,0.005483468157880449,1933,0.9883426454836455,2099,1.175351858139038
